aco_flight_number,plot_datetime,user_name,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,plot_features,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g_drop,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm_drop,density_drop,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,10.0,,O,Depth,153.0,5/10/2024 10:26,153.0,,,,153.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,7.5,,O,Depth,105.0,5/10/2024 10:26,105.0,,,,105.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,5.0,,O,Depth,101.0,5/10/2024 10:26,101.0,,,,101.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,2.5,,E,Depth,117.0,5/10/2024 10:26,117.0,,,,117.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,Centre,,,O,Depth,135.0,5/10/2024 10:26,135.0,,,,135.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,W,2.5,,O,Depth,130.0,5/10/2024 10:27,130.0,,,,130.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,W,5.0,,O,Depth,76.0,5/10/2024 10:27,76.0,,,,76.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,W,7.5,,O,Depth,134.0,5/10/2024 10:28,134.0,,,,134.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,W,10.0,,O,Depth,125.0,5/10/2024 10:28,125.0,,,,125.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,S,10.0,,U,Density,56.0,5/10/2024 10:28,0.0,51.0,0.0,3780.0,56.0,,,,,,,,,51.0,,,350.0,56.0,91.0,31.189,0.557,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SW,10.0,,U,Depth,70.0,5/10/2024 10:30,70.0,,,,70.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SW,7.5,,E,Depth,61.0,5/10/2024 10:30,61.0,,,,61.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SW,5.0,,O,Depth,121.0,5/10/2024 10:31,121.0,,,,121.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SW,2.5,,O,Depth,120.0,5/10/2024 10:31,120.0,,,,120.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SE,10.0,,"U,TW",Depth,42.0,5/10/2024 10:33,42.0,,,,42.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,SE,7.5,,U,Depth,68.0,5/10/2024 10:34,68.0,,,,68.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
